"New Invoice for Order #%s","@FIXME: Hóa đơn mới cho đặt hàng"
"New Order Confirmation Email Sender","@FIXME: Trật tự mới nhận Email người gửi"
"New Order Confirmation Template","@FIXME: Mới nhận thứ tự mẫu"
"New Order Confirmation Template for Guest","@FIXME: Mới nhận hàng Mẫu Guest"
"New Order","@FIXME: New Order"
"New Order for Guest","@FIXME: Trật tự mới cho Guest"
"New Order RSS","@FIXME: New Order RSS"
"New Order Status","@FIXME: New Status Đặt hàng"
"New Shipment","@FIXME: Lô hàng mới"
"New Shipment for Guest","@FIXME: Lô hàng mới cho Guest"
"New Shipment for Order #%s","@FIXME: Lô hàng mới cho đặt hàng"
"Newsletter Subscription","@FIXME: Bản tin Bản tin"
"New Status","@FIXME: Status mới"
"No detail for number ""%s""",@TODO
No,"@FIXME: không"
"No information available.","@FIXME: Không có thông tin."
"No items","@FIXME: không có mục nào"
"No Items","@FIXME: không có mục nào"
"No Items To Refund","@FIXME: Không có mục nào để hoàn trả"
"Nominal item can be purchased standalone only. To proceed please remove other items from the quote.","@FIXME: Mục danh nghĩa chỉ có thể được mua độc lập. Để tiến hành xin vui lòng loại bỏ các mặt hàng khác từ các báo."
"Nominal Items","@FIXME: Items danh nghĩa"
"Nominal order registered.","@FIXME: Để đăng ký danh nghĩa."
"No ordered items","@FIXME: Không có mục đặt hàng"
"No order(s) were put on hold.","@FIXME: Không có thứ tự (s) đã được đưa vào giữ."
"No order(s) were released from holding status.","@FIXME: Không có thứ tự (s) đã được phát hành từ việc nắm giữ trạng thái."
"No Payment Methods","@FIXME: Không có Phương thức thanh toán"
"No shipping information available","@FIXME: Không có thông tin vận chuyển có sẵn"
"Not Capture","@FIXME: không Chụp"
"Not enough valid data to save the parent transaction ID.","@FIXME: Không đủ dữ liệu có giá trị để lưu ID giao dịch cha mẹ."
"Notification Not Applicable","@FIXME: Thông báo Không áp dụng"
Notified,"@FIXME: thông báo"
"Notify Customer by Email","@FIXME: Thông báo cho khách hàng bằng Email"
"Notify Customer","@FIXME: Thông báo cho khách hàng"
"Not Initialized","@FIXME: không Khởi tạo"
"Not Notified","@FIXME: không được thông báo"
Number,"@FIXME: số"
"Number of Invoiced Orders","@FIXME: Số đơn đặt hàng được lập Hoá đơn"
"Number of Orders","@FIXME: Số đơn đặt hàng"
"Number of Refunded Orders","@FIXME: Số đơn đặt hàng Hoàn"
"Offline Refunded","@FIXME: Offline Hoàn"
OK,"@FIXME: tốt"
"On Hold","@FIXME: On Hold"
"Online Refunded","@FIXME: Hoàn trực tuyến"
"Order Address Information","@FIXME: Đặt hàng Thông tin địa chỉ"
"Order API","@FIXME: để API"
"Order Comment Email Sender","@FIXME: Để Comment Email người gửi"
"Order Comment Email Template","@FIXME: Để Comment Email Template"
"Order Comment Email Template for Guest","@FIXME: Để Comment Email Template cho Guest"
"Order Comment","@FIXME: để Comment"
"Order Comments","@FIXME: thứ tự Comments"
"Order credit memo","@FIXME: Bản ghi nhớ tín dụng để"
"Order Credit Memos","@FIXME: Để tín dụng bản ghi nhớ"
"Order Currency:","@FIXME: Thứ tự ngoại tệ:"
"Order Date: ","@FIXME: Đặt hàng ngày:"
"Order Date","@FIXME: Đặt hàng ngày"
"Order Date (%s)",@TODO
"Order Date: %s",@TODO
"Order Details","@FIXME: Đặt hàng Chi tiết"
"Order does not allow to be canceled.","@FIXME: Để không cho phép bị hủy bỏ."
"Ordered amount of %s.",@TODO
Ordered,"@FIXME: ra lệnh"
"Order # ","@FIXME: trật tự"
Order,"@FIXME: trật tự"
"Order Grand Total","@FIXME: Đặt hàng Tổng cộng"
"Order History","@FIXME: Lịch sử đơn hàng"
"Order History Info","@FIXME: Lịch sử đặt Thông tin"
"Order ID","@FIXME: Order ID"
"Order Information","@FIXME: Thông tin đặt hàng"
"Ordering amount of %s is pending approval on gateway.",@TODO
"Order invoice","@FIXME: hoá đơn theo lệnh"
"Order Invoices","@FIXME: Đặt hàng Hoá đơn"
"Order is suspended as its authorizing amount %s is suspected to be fraudulent.",@TODO
"Order is suspended as its capture amount %s is suspected to be fraudulent.",@TODO
"Order object is not specified.","@FIXME: Đối tượng để không được chỉ định."
"Order #","Order # "
"Orders and Returns","@FIXME: Đơn đặt hàng và lợi nhuận"
"Orders and Returns Search Form","@FIXME: Đơn đặt hàng và Trả Mẫu tìm kiếm"
"Order saving error: %s",@TODO
Orders,"@FIXME: Đơn đặt hàng"
"Order # %s","@FIXME: trật tự"
"Order #%s","@FIXME: trật tự"
"Order Shipments","@FIXME: Các lô hàng theo thứ tự"
"Order shipments","@FIXME: lô hàng theo thứ tự"
"Order #%s - %s","@FIXME: trật tự"
"Order # %s %s | %s","@FIXME: trật tự"
"Order State","@FIXME: Đặt hàng Nhà nước"
"Order status does not exist.","@FIXME: Tình trạng để không tồn tại."
"Order Statuses","@FIXME: Các trạng thái tự"
"Order Status","@FIXME: Tình trạng tự"
"Order Status Information","@FIXME: Thông tin Trạng thái trật tự"
"Order status with the same status code already exist.","@FIXME: Tình trạng đặt hàng với mã trạng thái cùng tồn tại."
"Order Subtotal","@FIXME: để Subtotal"
"Order Subtotal:","@FIXME: Để Subtotal:"
"Order Taxes Report Grouped by Tax Rates","@FIXME: Thuế để Báo cáo được nhóm theo các mức thuế"
"Order Total","@FIXME: để Total"
"Order Totals","@FIXME: Tổng Số thứ tự"
"Order Update","@FIXME: để Cập nhật"
"Order Update for Guest","@FIXME: Cập nhật để cho Guest"
"Order View","@FIXME: Đặt hàng Xem"
"Order was not cancelled.","@FIXME: Đặt hàng không được hủy bỏ."
"Order was not put on hold.","@FIXME: Đặt hàng không được đưa vào giữ."
"Order was not unholded.","@FIXME: Để không unholded."
"Order was placed using %s",@TODO
"Order was successfully cancelled.","@FIXME: Đặt hàng đã bị hủy bỏ thành công."
"Order was successfully put on hold.","@FIXME: Trật tự đã được đưa thành công vào giữ."
"Order was successfully released from holding status.","@FIXME: Để được phát hành thành công từ việc nắm giữ trạng thái."
"Original order item that recurring payment profile correspondss to.","@FIXME: Mục thứ tự ban đầu định kỳ hồ sơ thanh toán correspondss để."
"Original Price","@FIXME: Giá gốc"
Package,"@FIXME: gói"
Packages,"@FIXME: gói"
"Package types are disregarded for USPS domestic shipments.","@FIXME: Loại gói được bỏ qua cho USPS lô hàng trong nước."
"Packingslip # ","@FIXME: Packingslip"
"Paid Amount","@FIXME: Số tiền"
Paid,"@FIXME: trả"
"Parent Transaction ID","@FIXME: ID giao dịch cha mẹ"
"Parent transaction ID must have a transaction ID.","@FIXME: ID giao dịch phụ huynh phải có một ID giao dịch."
Partial,"@FIXME: từng phần"
"Payment disallow storing objects.","@FIXME: Không cho phép thanh toán lưu trữ các đối tượng."
"Payment Failed","@FIXME: Không thanh toán"
"Payment Information","@FIXME: Thông tin thanh toán"
"Payment Method:","@FIXME: Phương thức thanh toán:"
"Payment Method","@FIXME: Phương thức thanh toán"
"Payment Method Name","@FIXME: Phương thức thanh toán Tên"
"Payment Review","@FIXME: thanh toán giá"
"Payment transactions disallow storing objects.","@FIXME: Giao dịch thanh toán không cho phép lưu trữ các đối tượng."
"Payment type","@FIXME: loại hình thanh toán"
"Payment update has been made.","@FIXME: Cập nhật thanh toán đã được thực hiện."
"PDF Credit Memos","@FIXME: Memos PDF tín dụng"
"PDF Invoices","@FIXME: Hoá đơn PDF"
"PDF object is not specified.","@FIXME: Đối tượng PDF không được chỉ định."
"PDF Packingslips","@FIXME: PDF Packingslips"
"PDF page object is not specified.","@FIXME: Đối tượng trang PDF không được chỉ định."
"PDF Print-outs","@FIXME: PDF In ra"
"PDF total model should extend Mage_Sales_Model_Order_Pdf_Total_Default","@FIXME: Tổng số mô hình PDF nên mở rộng Mage_Sales_Model_Order_Pdf_Total_Default"
Pending,"@FIXME: chưa giải quyết"
"Pending Payment","@FIXME: cấp phát thanh toán"
"Pending PayPal","@FIXME: Trong khi chờ PayPal"
Period,"@FIXME: thời gian"
"Placed from IP","@FIXME: Đặt từ IP"
"Place Order Using Billing Agreements","@FIXME: Đặt hàng Sử dụng Hiệp định Thanh toán"
"Please check billing address information. %s",@TODO
"Please check shipping address information. %s",@TODO
"Please define PDF object before using.","@FIXME: Hãy xác định đối tượng PDF trước khi sử dụng."
"Please enter positive number in this field.","@FIXME: Vui lòng nhập số tích cực trong lĩnh vực này."
"Please select a customer","@FIXME: Vui lòng chọn một khách hàng"
"Please Select a Customer","@FIXME: Vui lòng chọn một khách hàng"
"Please select a store","@FIXME: Vui lòng chọn một cửa hàng"
"Please Select a Store","@FIXME: Vui lòng chọn một cửa hàng"
"Please select a valid payment method.","@FIXME: Hãy lựa chọn một phương thức thanh toán hợp lệ."
"-- Please Select Billing Agreement--","@FIXME: - Vui lòng chọn Thanh toán Agreement--"
"-- Please Select --","@FIXME: - Vui lòng chọn -"
"Please select products to add","@FIXME: Vui lòng chọn sản phẩm để thêm"
"Please Select Products to Add","@FIXME: Vui lòng chọn sản phẩm để Thêm"
"Please specify a shipping method.","@FIXME: Hãy xác định một phương thức vận chuyển."
"Please specify a valid grid column alias name that exists in grid table.","@FIXME: Hãy xác định một tên bí danh cột lưới hợp lệ mà tồn tại trong bảng lưới."
Price,"@FIXME: giá"
"Print All","@FIXME: In Tất cả"
"Print All Invoices","@FIXME: In Tất cả các hóa đơn"
"Print All Refunds","@FIXME: In Tất cả các khoản hoàn trả"
"Print All Shipments","@FIXME: In Tất cả các lô hàng"
"Print Credit Memos","@FIXME: In bản ghi nhớ tín dụng"
Print,"@FIXME: in"
"Print Invoice","@FIXME: In hóa đơn"
"Print Invoices","@FIXME: Hoá đơn in"
"Print Order","@FIXME: Print Order"
"Print Order # %s","@FIXME: Print Order"
"Print Packingslips","@FIXME: Packingslips In"
"Print Refund","@FIXME: In Refund"
"Print Shipment","@FIXME: In Lô hàng"
"Print Shipping Label","@FIXME: In Shipping Label"
"Print Shipping Labels","@FIXME: Nhãn In Vận Chuyển"
"Processing data problem","@FIXME: Vấn đề xử lý dữ liệu"
Processing,"@FIXME: chế biến"
Product,"@FIXME: sản phẩm"
"Product Name","@FIXME: Tên sản phẩm"
"Products Bestsellers Report","@FIXME: Sản phẩm bán chạy Báo cáo"
Products,"@FIXME: sản phẩm"
"Products in Compare List","@FIXME: Sản phẩm trong Danh sách So sánh"
"Products in Comparison List","@FIXME: Sản phẩm trong Danh sách So sánh"
"Products should be added to package(s)","@FIXME: Sản phẩm nên được thêm vào gói (s)"
"Profile Information","@FIXME: Thông tin cá nhân"
"Profile #%s","@FIXME: Hồ sơ"
"Profile State","@FIXME: Hồ sơ của Nhà nước"
Profit,"@FIXME: lợi"
"Promotion Coupons Usage Report","@FIXME: Phiếu giảm giá khuyến mãi Cách sử dụng Báo cáo"
"Proper payment object must be set.","@FIXME: Đối tượng thanh toán thích hợp phải được thiết lập."
"Purchased From","@FIXME: mua Từ"
"Purchased from (store)","@FIXME: Mua từ ( cửa hàng )"
"Purchased From (Store)","@FIXME: Mua Từ ( Store)"
"Purchased Item","@FIXME: đã mua hàng"
"Purchased On","@FIXME: mua Mở"
"Purchase Order Number:","@FIXME: Mua hàng Số lượng:"
QTY,"@FIXME: QTY"
Qty,"@FIXME: Số lượng"
"Qty Invoiced","@FIXME: Số lượng được lập Hoá đơn"
"Qty Ordered","@FIXME: Số lượng có thứ tự"
"Qty Shipped","@FIXME: Số lượng Shipped"
"Qty To Add","@FIXME: Số lượng để Thêm"
"Qty to Add","@FIXME: Số lượng Thêm"
"Qty to Invoice","@FIXME: SL đặt hóa đơn"
"Qty to Refund","@FIXME: Số lượng để hoàn lại tiền"
"Qty to Ship","@FIXME: Số lượng để tàu"
"Quantity Ordered","@FIXME: Số lượng có thứ tự"
"Quote item id is not received.","@FIXME: Trích item id không nhận được."
"Quote item is not loaded.","@FIXME: Trích mục không được tải."
Rate,"@FIXME: tốc độ"
"Recently Compared Products","@FIXME: Sản phẩm mới So"
"Recently Viewed","@FIXME: xem gần đây"
"Recently Viewed Products","@FIXME: Sản phẩm vừa xem"
"Recent Orders","@FIXME: Đơn đặt hàng gần đây"
"Recurring Profile Initial Fee","@FIXME: Định kỳ sơ Phí ban đầu"
"Recurring Profiles (beta)","@FIXME: Profiles định kỳ (beta)"
"Recurring Profile # %s","@FIXME: định kỳ sơ"
"Recurring Profiles","@FIXME: Profiles định kỳ"
"Reference ID","@FIXME: ID tài liệu tham khảo"
"Reference ID:","@FIXME: ID tham khảo:"
Refresh,"@FIXME: Làm mới"
"Refund Amount","@FIXME: Số tiền hoàn trả"
"Refunded amount of %s offline.",@TODO
"Refunded amount of %s online.",@TODO
Refunded,"@FIXME: hoàn"
"Refund #","@FIXME: hoàn"
Refund,"@FIXME: hoàn"
"Refund Offline","@FIXME: hoàn offline"
"Refund #%s","@FIXME: hoàn"
Refunds,"@FIXME: Hoàn lại tiền"
"Refund Shipping (Excl. Tax)","@FIXME: Hoàn Vận chuyển (. Thuế chưa bao gồm )"
"Refund Shipping","@FIXME: hoàn Vận Chuyển"
"Refund Shipping (Incl. Tax)","@FIXME: Hoàn Vận chuyển (. Đã bao gồm thuế )"
"Refund Totals","@FIXME: Toång hoàn"
"Registered a Void notification.","@FIXME: Đăng ký một thông báo Void."
"Registered notification about approved payment.","@FIXME: Thông báo đăng ký về thanh toán đã được phê duyệt."
"Registered notification about captured amount of %s.",@TODO
"Registered notification about denied payment.","@FIXME: Thông báo đăng ký về thanh toán bị từ chối."
"Registered notification about refunded amount of %s.",@TODO
"Registered update about approved payment.","@FIXME: Đăng ký cập nhật về thanh toán đã được phê duyệt."
"Registered update about denied payment.","@FIXME: Đăng ký cập nhật về thanh toán bị từ chối."
"Regular Payment","@FIXME: Thanh toán thường xuyên"
"Related Orders","@FIXME: Đơn đặt hàng liên quan"
"Remove Coupon Code","@FIXME: Hủy bỏ Phiêu Mã"
Remove,"@FIXME: tẩy"
"Remove tracking number","@FIXME: Xóa số theo dõi"
Reorder,"@FIXME: Sắp xếp lại"
"* Required Fields","@FIXME: * Các trường bắt buộc"
"Retrieve credit memo info","@FIXME: Lấy các thông tin ghi nhớ tín dụng"
"Retrieve credit memo information","@FIXME: Lấy thông tin ghi nhớ tín dụng"
"Retrieve credit memo list","@FIXME: Lấy danh sách bản ghi nhớ tín dụng"
"Retrieve invoice info","@FIXME: Lấy thông tin hóa đơn"
"Retrieve invoice information","@FIXME: Lấy thông tin hóa đơn"
"Retrieve list of credit memos by filters","@FIXME: Lấy danh sách các bản ghi nhớ tín dụng bởi các bộ lọc"
"Retrieve list of invoices by filters","@FIXME: Lấy danh sách các hoá đơn của các bộ lọc"
"Retrieve list of orders by filters","@FIXME: Lấy danh sách các đơn đặt hàng của các bộ lọc"
"Retrieve list of shipments by filters","@FIXME: Lấy danh sách các lô hàng của các bộ lọc"
"Retrieve order information","@FIXME: Lấy thông tin đặt hàng"
"Retrieve orders info","@FIXME: Lấy đơn đặt hàng thông tin"
"Retrieve shipment info","@FIXME: Lấy thông tin lô hàng"
"Retrieve shipment information","@FIXME: Lấy thông tin lô hàng"
Returned,"@FIXME: trở về"
Returns,"@FIXME: Returns"
"Return to Stock","@FIXME: Quay trở lại Cổ"
Revenue,"@FIXME: lợi tức"
"Row Subtotal","@FIXME: Row Subtotal"
"Row Total","@FIXME: Tổng số Row"
"Sales Discount","@FIXME: Giảm giá bán hàng"
"Sales Emails","@FIXME: bán email"
"Sales Emails Section","@FIXME: Bán hàng Email mục"
Sales,"@FIXME: bán hàng"
"Sales Invoice Print View","@FIXME: Hóa đơn bán hàng Print View"
"Sales Items","@FIXME: bán hàng mục"
"Sales Order Print View","@FIXME: Đặt hàng bán hàng Print View"
"Sales Section","@FIXME: Phần bán hàng"
"Sales Shipment Print View","@FIXME: Bán lô hàng Print View"
"Sales Shipping","@FIXME: Vận chuyển bán hàng"
"Sales Tax","@FIXME: thuế bán hàng"
"Sales Total","@FIXME: Tổng doanh số bán hàng"
"Same As Billing Address","@FIXME: Giống Như Thanh toán Địa chỉ"
"Save and Close Message","@FIXME: Lưu và Đóng tin nhắn"
"Save in address book","@FIXME: Lưu trong sổ địa chỉ"
"Save Order Address","@FIXME: Lưu thứ tự Địa chỉ"
"Save Status Assignment","@FIXME: Lưu Tình trạng chuyển nhượng"
"Save Status","@FIXME: Lưu Status"
Schedule,"@FIXME: lịch trình"
"""%s"" coupon code is not valid.",@TODO
"Select All","@FIXME: chọn tất cả"
"Selected option(s) or their combination is not currently available.","@FIXME: Tùy chọn (s) hoặc kết hợp của họ hiện chưa có."
Select,"@FIXME: lựa chọn"
"Select from existing customer addresses:","@FIXME: Chọn từ các địa chỉ khách hàng hiện tại:"
"Send Credit Memo Comment Email Copy To","@FIXME: Gởi Memo tín dụng Comment Email Copy To"
"Send Credit Memo Comments Email Copy Method","@FIXME: Gửi Credit Memo Comments Email Sao chép Phương pháp"
"Send Credit Memo Email Copy Method","@FIXME: Gởi Memo tín dụng Email Sao chép Phương pháp"
"Send Credit Memo Email Copy To","@FIXME: Gởi Memo tín dụng Email Copy To"
"Send Email","@FIXME: Gửi Email"
"Send Invoice Comment Email Copy To","@FIXME: Gửi hóa đơn Comment Email Sao chép Để"
"Send Invoice Comments Email Copy Method","@FIXME: Gửi hóa đơn Comments Email Sao chép Phương pháp"
"Send Invoice Email Copy Method","@FIXME: Gửi Email Invoice Sao chép Phương pháp"
"Send Invoice Email Copy To","@FIXME: Gửi Invoice Email Copy To"
"Send Order Comment Email Copy To","@FIXME: Gởi thứ tự Comment Email Copy To"
"Send Order Comments Email Copy Method","@FIXME: Gửi Đặt hàng Bình luận Email Sao chép Phương pháp"
"Send Order Email Copy Method","@FIXME: Gửi Email Đặt hàng Sao chép Phương pháp"
"Send Order Email Copy To","@FIXME: Gửi Email hàng Copy To"
"Send Order Email","@FIXME: Gửi Email hàng"
"Send Sales Emails","@FIXME: Gửi email bán hàng"
"Send Shipment Comment Email Copy To","@FIXME: Gửi lô hàng Comment Email Copy To"
"Send Shipment Comments Email Copy Method","@FIXME: Gửi lô hàng Comments Email Sao chép Phương pháp"
"Send Shipment Email Copy Method","@FIXME: Gửi Email lô hàng Sao chép Phương pháp"
"Send Shipment Email Copy To","@FIXME: Gửi Email lô hàng Copy To"
"Send shipment info","@FIXME: Gửi thông tin lô hàng"
"Send Tracking Information","@FIXME: Gửi theo dõi thông tin"
"separate by "",""","@FIXME: tách bằng "","""
"Set order for existing transactions not allowed","@FIXME: Thiết lập trật tự cho các giao dịch hiện tại không cho phép"
"%s for %s",@TODO
Ship,"@FIXME: tàu"
"Shipment #%1$s | %3$s (%2$s)","@FIXME: lô hàng"
"Shipment Comment Email Sender","@FIXME: Lô hàng Comment Email người gửi"
"Shipment Comment Email Template","@FIXME: Lô hàng Comment Email Template"
"Shipment Comment Email Template for Guest","@FIXME: Lô hàng Comment Email Template cho Guest"
"Shipment Comments","@FIXME: lô hàng nhận xét"
"Shipment email not sent","@FIXME: Email lô hàng không được gửi"
"Shipment Email Sender","@FIXME: Lô hàng Email người gửi"
"Shipment email sent","@FIXME: Email lô hàng gửi"
"Shipment Email Template","@FIXME: Lô hàng Email Template"
"Shipment Email Template for Guest","@FIXME: Lô hàng Email Template cho Guest"
"Shipment #","@FIXME: lô hàng"
Shipment,"@FIXME: lô hàng"
"Shipment #%s","@FIXME: lô hàng"
Shipments,"@FIXME: lô hàng"
"Shipment Update","@FIXME: Cập nhật lô hàng"
"Shipment Update for Guest","@FIXME: Cập nhật lô hàng cho Guest"
"Shipped By","@FIXME: vận chuyển By"
Shipped,"@FIXME: vận chuyển"
"Shipping Address","@FIXME: Vận Chuyển Địa chỉ"
"Shipping Amount","@FIXME: Số tiền vận chuyển"
"Shipping &amp; Handling","@FIXME: Vận Chuyển \u0026 amp; xử lý"
"Shipping &amp; Handling Information","@FIXME: Vận Chuyển \u0026 amp; xử lý thông tin"
"Shipping and Tracking Information","@FIXME: Vận chuyển và Thông tin theo dõi"
Shipping,"@FIXME: hàng hải"
"Shipping & Handling:","@FIXME: Vận chuyển và xử lý:"
"Shipping & Handling","@FIXME: Vận chuyển và xử lý"
"Shipping Information","@FIXME: Vận chuyển thông tin"
"Shipping Method:","@FIXME: Phương thức Giao hàng:"
"Shipping Method","@FIXME: Phương thức vận chuyển"
"Shipping Refund","@FIXME: Vận Chuyển Refund"
"Ship to First name","@FIXME: Tàu tên đầu tiên"
"Ship To","@FIXME: Để tàu"
"Ship to:","@FIXME: Ship đến:"
"SHIP TO:","@FIXME: SHIP TO:"
"Ship to","@FIXME: tàu"
"Ship to Last name","@FIXME: Tàu tên cuối"
"Ship to Name","@FIXME: Tàu Name"
"Shopping Cart","@FIXME: Giỏ hàng"
"Show Packages","@FIXME: Hiện gói"
"Signature Confirmation","@FIXME: Chữ ký Chứng nhận"
"Signed Up From","@FIXME: Ký Up Từ"
Size,"@FIXME: kích thước"
Sku,"@FIXME: Mã số"
SKU,"@FIXME: SKU"
"SOLD TO:","@FIXME: BÁN VỚI:"
"Sold to:","@FIXME: Chuyển đến:"
"Some item options or their combination are not currently available.","@FIXME: Một số tùy chọn mục hoặc sự kết hợp của họ hiện không có sẵn."
"Some items have quantities exceeding allowed quantities. Please select a lower quantity to checkout.","@FIXME: Một số mặt hàng có số lượng vượt quá số lượng cho phép. Hãy lựa chọn một số lượng thấp hơn để kiểm tra."
"Some of the products below do not have all the required options.","@FIXME: Một số sản phẩm dưới đây không có tất cả các tùy chọn cần thiết."
"Some of the products below don't have all the required options. Please remove them and add again with all the required options.",@TODO
"Some of the selected options are not currently available.","@FIXME: Một số tùy chọn được chọn hiện không có sẵn."
"%s order(s) cannot be canceled",@TODO
"%s order(s) have been canceled.",@TODO
"%s order(s) have been put on hold.",@TODO
"%s order(s) have been released from holding status.",@TODO
"%s order(s) successfully canceled",@TODO
"%s order(s) successfully put on hold",@TODO
"%s order(s) successfully released from holding status",@TODO
"%s order(s) were not put on hold.",@TODO
"%s order(s) were not released from holding status.",@TODO
"Sorry, no quotes are available for this order at this time.","@FIXME: Xin lỗi, không có dấu ngoặc kép có sẵn để đặt hàng này tại thời điểm này."
"Source object is not specified.","@FIXME: Đối tượng nguồn không được xác định."
"Specified profile does not exist.","@FIXME: Hồ sơ quy định không tồn tại."
"%s / %s rate:",@TODO
"State Code [State Title]",@TODO
State/Province,"@FIXME: Tiểu bang / Tỉnh"
"Status Code","@FIXME: Mã Tình trạng"
Status,"@FIXME: Tình trạng"
Status:,"@FIXME: Tình trạng:"
"Status Label","@FIXME: Tình trạng Label"
%s,@TODO
"Store Credit","@FIXME: cửa hàng tín dụng"
"Store View Specific Labels","@FIXME: Cửa hàng Xem Labels cụ thể"
"Street Address","@FIXME: Địa chỉ"
"Submit Comment","@FIXME: gửi bình luận"
"Submit Credit Memo","@FIXME: Gửi Memo tín dụng"
"Submit Invoice and Shipment","@FIXME: Gửi hóa đơn và lô hàng"
"Submit Invoice","@FIXME: gửi hóa đơn"
"Submit Order","@FIXME: gửi đặt hàng"
"Submit Shipment","@FIXME: gửi lô hàng"
"Subscribe to Newsletter","@FIXME: Đăng ký tin"
"Subscribe to Order Status","@FIXME: Theo dõi thứ tự Status"
"Subtotal after discount.","@FIXME: Tổng số phụ sau khi giảm giá."
"Subtotal after discount","@FIXME: Tổng số phụ sau khi giảm giá"
Subtotal,"@FIXME: Subtotal"
Subtotal:,"@FIXME: Tổng số phụ:"
"Suspected Fraud","@FIXME: Gian lận nghi ngờ"
Suspended,"@FIXME: đình chỉ"
Suspend,"@FIXME: đình chỉ"
"Tax Amount","@FIXME: Số tiền thuế"
"Tax :","@FIXME: thuế:"
Tax,"@FIXME: thuế"
"Tax Percent","@FIXME: Tỷ lệ thuế"
"TAX/VAT Number","@FIXME: THUẾ / Số thuế GTGT"
Telephone,"@FIXME: điện thoại"
"The address total model should be extended from Mage_Sales_Model_Quote_Address_Total_Abstract.","@FIXME: Tổng mô hình địa chỉ nên được mở rộng từ Mage_Sales_Model_Quote_Address_Total_Abstract."
"The billing agreement ""%s"" has been canceled.",@TODO
"The billing agreement ""%s"" has been created.",@TODO
"The coupon code has been accepted.","@FIXME: Mã phiếu giảm giá đã được chấp nhận."
"the credit memo email is not sent","@FIXME: email ghi nhớ tín dụng không được gửi"
"the credit memo email was sent","@FIXME: email ghi nhớ tín dụng đã được gửi"
" The customer doesn't exist in the system anymore",@TODO
"the invoice email is not sent","@FIXME: email hóa đơn không được gửi"
"the invoice email was sent","@FIXME: email hoá đơn được gửi"
"The item %s (SKU %s) doesn't exist in the catalog anymore",@TODO
"The message has been sent.","@FIXME: Thông điệp đã được gửi đi."
"The message was sent.","@FIXME: Thông điệp đã được gửi."
"The order address has been updated.","@FIXME: Địa chỉ thứ tự đã được cập nhật."
"the order confirmation email is not sent","@FIXME: email xác nhận đơn đặt hàng không được gửi"
"the order confirmation email was sent","@FIXME: email xác nhận đơn đặt hàng đã được gửi"
"The order email has been sent.","@FIXME: Các email đặt hàng đã được gửi đi."
"The order has been cancelled.","@FIXME: Thứ tự đã bị hủy."
"The order has been created.","@FIXME: Trình tự đã được tạo ra."
"The order has been put on hold.","@FIXME: Trình tự đã được đưa vào giữ."
"The order has been released from holding status.","@FIXME: Trình tự đã được phát hành từ việc nắm giữ trạng thái."
"The order has not been cancelled.","@FIXME: Đơn đặt hàng chưa được hủy bỏ."
"The order(s) cannot be canceled","@FIXME: Thứ tự (s) không thể bị hủy bỏ"
"The Order State ""%s"" must not be set manually.",@TODO
"The order status has been assigned.","@FIXME: Các trạng thái đơn hàng đã được chỉ định."
"The order status has been saved.","@FIXME: Các trạng thái đơn hàng đã được lưu."
"The order status has been unassigned.","@FIXME: Tình trạng trật tự đã được gán."
"The order was not put on hold.","@FIXME: Trình tự đã không được đưa vào giữ."
"The order was not unheld.","@FIXME: Trình tự là không unheld."
"The order was placed using %s",@TODO
"The payment has been accepted.","@FIXME: Việc thanh toán đã được chấp nhận."
"The payment has been denied.","@FIXME: Việc thanh toán đã bị từ chối."
"The payment has been voided.","@FIXME: Thanh toán đã được hủy bỏ."
"The profile has been updated.","@FIXME: Các hồ sơ đã được cập nhật."
"The profile has no changes.","@FIXME: Các hồ sơ không có thay đổi."
"The profile state has been updated.","@FIXME: Tình trạng hồ sơ đã được cập nhật."
"The quantity you want to add exceeds the total shipped quantity for some of selected Product(s)","@FIXME: Số lượng bạn muốn thêm vượt quá tổng số lượng vận chuyển cho một số sản phẩm được lựa chọn ( s)"
"There are no billing agreements yet.","@FIXME: Không có thỏa thuận thanh toán nào."
"There are no printable documents related to selected orders.","@FIXME: Không có tài liệu in liên quan đến đơn đặt hàng lựa chọn."
"There are no printable documents related to selected orders","@FIXME: Không có tài liệu in liên quan đến đơn đặt hàng lựa chọn"
"There are no shipping labels related to selected orders.","@FIXME: Không có nhãn vận chuyển liên quan đến đơn đặt hàng lựa chọn."
"There are no shipping labels related to selected shipments.","@FIXME: Không có nhãn vận chuyển liên quan đến lô hàng được lựa chọn."
"There is no need to approve this payment.","@FIXME: Không cần phải phê duyệt thanh toán này."
"There is no need to deny this payment.","@FIXME: Không cần phải để từ chối thanh toán này."
"There is no update for the payment.","@FIXME: Không có bản cập nhật cho các thanh toán."
"The requested Payment Method is not available.","@FIXME: Các Phương thức thanh toán được yêu cầu không có sẵn."
"the shipment email is not sent","@FIXME: email lô hàng không được gửi"
"the shipment email was sent","@FIXME: email lô hàng đã được gửi"
"The shipping label has been created.","@FIXME: Các nhãn vận chuyển đã được tạo ra."
"The transaction ""%s"" cannot be captured yet.",@TODO
"The transaction ""%s"" (%s) is already closed.",@TODO
"The value that you entered is not valid.","@FIXME: Các giá trị mà bạn đã nhập không hợp lệ."
