"About the calendar","@FIXME: Về lịch"
%s,"@FIXME: % s"
"(Shift-)Click or drag to change value","@FIXME: ( Shift- ) Nhấp hoặc kéo để thay đổi giá trị"
"Skin (Images / CSS)","@FIXME: Skin ( hình ảnh / CSS)"
"SMTP settings (Windows server only)","Cài đặt SMTP (Chỉ dùng trên Windows server)"
"Sort Order","@FIXME: Xếp theo thứ tự"
"Sort order","Thứ tự sắp xếp"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Ngày giờ chỉ định ""%1$s"" không phù hợp định dạng ""%2$s""."
"Specify either category or product, or both.","Chỉ rõ cả danh mục hoặc sản phẩm, hoặc cả hai."
"Start date cannot be greater than end date.","@FIXME: Ngày bắt đầu không được lớn hơn ngày kết thúc."
"Start date can\'t be greater than end date","Ngày bắt đầu không thể lớn hơn ngày kết thúc"
"Start date can't be greater than end date",@TODO
"Startup Page","@FIXME: Startup trang"
"Startup page","Trang bắt đầu (startup)"
Status,"Trạng thái"
"Storage Configuration for Media","@FIXME: Configuration Storage Media"
"Store API","@FIXME: cửa hàng API"
"Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Store code nên bao gồm chỉ các ký tự (a-z), số (0-9) hoặc gạch dưới(_), Ký tự đầu tiên nên là chữ."
"Store Contact Address","@FIXME: Địa chỉ cửa hàng Liên hệ"
"Store Contact Information","@FIXME: Lưu trữ Thông tin liên hệ"
"Store Contact Telephone","@FIXME: Lưu trữ Liên hệ điện thoại"
"Store doesn't exist","Store không tồn tại"
"Store Email Addresses","Địa chỉ email Store"
Store,"@FIXME: cửa hàng"
"Store Information","Thông tin Store"
"Store Name","Tên store"
"Store view doesn't exist","Store view không tồn tại"
"Store View","@FIXME: cửa hàng Xem"
"Store View Information","Thông tin Store View"
"Store View Name","Tên Store View"
"Store view was successfully deleted.","Store view đã được xóa."
"Store View was successfully saved","Store View đã được lưu"
"Store was successfully deleted.","Store đã được xóa."
"Store was successfully saved","Store đã được lưu"
"Store with the same code","Store với cùng mã (code)"
"<strong style=""color:red"">Warning!</strong> When using CDN, in some cases JavaScript may not run properly if CDN is not in your subdomain","@FIXME: u003cstrong style =""color: red""u003e! Cảnh báo u003c/ strongu003e Khi sử dụng CDN, trong một số trường hợp JavaScript có thể không chạy đúng nếu CDN không có trong tên miền phụ của bạn"
"<strong style=""color:red"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third party services (e.g. PayPal etc.).","@FIXME: u003cstrong style =""color: red""u003e! Cảnh báo u003c/ strongu003e Khi sử dụng Mã cửa hàng trong URL, trong một số trường hợp hệ thống có thể không hoạt động đúng nếu URL mà không cần cửa hàng mã được quy định trong các dịch vụ của bên thứ ba (ví dụ như PayPal vv)."
System,"@FIXME: hệ thống"
"System Log File Name","Tên file log hệ thống"
"Template Path Hints","Gợi ý đường dẫn Template"
"Template Settings","@FIXME: Cài đặt template"
Templates,"@FIXME: Templates"
"Template Variables","@FIXME: biến template"
"Text length does not satisfy specified text range.","@FIXME: Độ dài văn bản không đáp ứng phạm vi văn bản quy định."
"The From Date value should be less than or equal to the To Date value.","@FIXME: Các tài liệu Từ ngày giá trị nên được ít hơn hoặc bằng với giá trị Đến ngày."
Themes,"@FIXME: chủ đề"
"The store code may contain only letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","@FIXME: Mã cửa hàng có thể chỉ chứa chữ cái ( az), số (0-9 ) hoặc gạch dưới (_), các ký tự đầu tiên phải là một chữ"
"The store does not exist","@FIXME: Các cửa hàng không tồn tại"
"The store has been deleted.","@FIXME: Các cửa hàng đã bị xóa."
"The store has been saved.","@FIXME: Các cửa hàng đã được lưu."
"The store view has been deleted.","@FIXME: Quan điểm của cửa hàng đã bị xóa."
"The store view has been saved","@FIXME: Quan điểm cửa hàng đã được lưu"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","%s Bạn vừa nhập không chính xác. Vui lòng điền theo mẫu định dạng ""http://domain.com/""."
"The template Name must not be empty.","@FIXME: Các mẫu Tên không được để trống."
"The value is not within the specified range.","@FIXME: Giá trị không nằm trong phạm vi quy định."
"The website does not exist.","@FIXME: Trang web này không tồn tại."
"The website has been deleted.","@FIXME: Trang web này đã bị xóa."
"The website has been saved.","@FIXME: Các trang web đã được lưu."
"This category and all its child elements","Danh mục này và tất cả các thành phần con của nó"
"This category and its child categories only","Chỉ danh mục này và các thành phần con của nó"
"This category and its products only","Chỉ danh mục này và các sản phẩm của nó"
"This category only","Chỉ danh mục này"
"This date is a required value.","@FIXME: Ngày này là một giá trị cần thiết."
"This is a required field.","Đây là trường bắt buộc."
"This store cannot be deleted.","Store này không thể xóa được."
"This store cannot be deleted","Store này không thể xóa được"
"This store view cannot be deleted.","Store view này không thể xóa được."
"This store view cannot be deleted","Store view này không thể xóa được"
"This website cannot be deleted.","Website này không thể xóa được."
"This website cannot be deleted","Website này không thể xóa được"
"This will be displayed just before body closing tag.","@FIXME: Điều này sẽ được hiển thị ngay trước thẻ đóng cơ thể."
"This will be displayed just before body closing tag","Hiển thị trước thẻ đóng body"
"This will be included before head closing tag in page HTML.","@FIXME: Điều này sẽ được đưa vào trước thẻ đóng đầu trong trang HTML."
"This will be included before head closing tag in page HTML","@FIXME: Điều này sẽ được đưa vào trước thẻ đóng đầu trong trang HTML"
Time:,"@FIXME: thời gian:"
"Time selection:","@FIXME: Thời gian lựa chọn:"
Timezone,"Múi giờ"
"Title Prefix","Tiền tố (Prefix) tiêu đề"
"Title Suffix","Suffix tiêu đề"
"                                to transfer all media to that location. Media will not be available in the new","@FIXME: để chuyển tất cả các phương tiện truyền thông đến địa điểm đó.  Phương tiện truyền thông sẽ không có sẵn trong mới"
"Transactional Emails","@FIXME: email giao dịch"
"Translate, blocks and other output caches should be disabled for both frontend and admin inline translations.","@FIXME: Dịch, khối và lưu trữ dữ liệu khác nên được vô hiệu hóa cho cả hai lối vào và quản trị dịch nội tuyến."
"Translate cache should be disabled for both Frontend and Admin inline translations","@FIXME: Dịch bộ nhớ cache sẽ bị vô hiệu hóa cho cả Frontend và quản trị dịch inline"
"Translate Inline","Dịch ngay trong trang (Translate Inline)"
Translations,Dịch
"Two and more slashes together are not permitted in request path","@FIXME: Hai dấu gạch chéo và nhiều hơn nữa cùng không được phép yêu cầu trong đường"
"Two and more slashes together are not permitted in url rewrite suffix","@FIXME: Hai dấu gạch chéo và nhiều hơn nữa cùng không được phép trong url viết lại hậu tố"
"Unable to create directory: %s","@FIXME: Không thể tạo thư mục: % s"
"Unable to delete store. Please, try again later.","Không thể xóa store store. Vui lòng thử lại sau."
"Unable to delete store view. Please, try again later.","Không thể xóa store view. Vui lòng thử lại sau."
"Unable to delete website. Please, try again later.","Không thể xóa website. Vui lòng thử lại."
"Unable to proceed. Please, try again.","@FIXME: Không thể để tiến hành.  Xin vui lòng thử lại."
"Unable to proceed. Please, try again","Không thể xử lý, vui lòng thử lại"
"Unable to save file ""%s"" at ""%s""","@FIXME: Không thể lưu tập tin""% s""ở""% s"""
"Unable to save file: %s","@FIXME: Không thể lưu tập tin:% s"
"Unknown old style column type definition: {$definition}.","@FIXME: Không biết định nghĩa kiểu cũ cột phong cách: {$ } định nghĩa."
"Unknown scope ""%s"".","@FIXME: Không rõ phạm vi""% s""."
"Unknown scope ""%s""","Phạm vi ""%s"" không rõ"
Unsecure,"Không bảo mật"
"Url Options","Tùy chọn Url"
"Use Custom Admin Path","@FIXME: Sử dụng Custom Admin Path"
"Use Custom Admin URL","@FIXME: Sử dụng Custom quản trị URL"
"Use custom admin URL","Sử dụng URL tùy chọn cho quản trị (Admin)"
"Use HTTP Only","@FIXME: Chỉ sử dụng HTTP"
"Use Secure URLs in Admin","sử dụng URLs không bảo mật trong quản trị (Admin)"
"Use Secure URLs in Frontend","Sử dụng URLs bảo mật trọng Frontend"
"Use SID on Frontend","@FIXME: Sử dụng SID trên Frontend"
"- Use the %s buttons to select month","@FIXME: - Sử dụng các nút % s để chọn tháng"
"- Use the %s, %s buttons to select year","@FIXME: - Sử dụng % s, nút % s để chọn năm"
"Use Web Server Rewrites","Sử dụng Rewrites của Web Server"
"Validate HTTP_USER_AGENT","Thẩm định HTTP_USER_AGENT"
"Validate HTTP_VIA","Thẩm định HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Thẩm định HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Thẩm định REMOTE_ADDR"
"Validation has failed.","@FIXME: Xác nhận đã thất bại."
"Values less than 60 are ignored.","@FIXME: Giá trị nhỏ hơn 60 được bỏ qua."
"Values less than 60 are ignored. Note that changes will apply after logout.","@FIXME: Giá trị nhỏ hơn 60 được bỏ qua.  Lưu ý rằng những thay đổi sẽ được áp dụng sau khi đăng xuất."
"Variable Code must be unique.","@FIXME: Biến Mã phải là duy nhất."
"VAT Number","@FIXME: Số thuế GTGT"
"Warning! Enabling this feature is not recommended on production environments because it represents a potential security risk.","@FIXME: Cảnh báo!  Bật tính năng này không được khuyến cáo về môi trường sản xuất bởi vì nó đại diện cho một nguy cơ bảo mật tiềm năng."
Web,"@FIXME: Web"
"Website code may only contain letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","@FIXME: Mã trang web chỉ có thể chứa các chữ cái (az), số (0-9 ) hoặc gạch dưới (_), các ký tự đầu tiên phải là một chữ"
"Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Mã website chỉ sử dụng ký tự (a-z), số (0-9) hoặc gạch dưới(_) trong trường này, Ký tự đầu tiên phải là chữ."
"Website doesn't exist","Website không tồn tại"
Website,"@FIXME: website"
"Website Information","Thông tin Website"
"Website Name","Tên Website"
"Website was successfully deleted.","Website đã được xóa."
"Website was successfully saved","Website đã được lưu"
"Website with the same code","Website với cùng mã"
"Weekend Days","Ngày cuối tuần"
"Welcome Text","Câu chào mừng"
"Wrong file info format","@FIXME: Tập tin thông tin sai định dạng"
"Wrong number of arguments for %s","Sai số của tham số cho %s"
"Wrong old style column type definition: {$definition}.","@FIXME: Sai cũ định nghĩa kiểu cột phong cách: {$ } định nghĩa."
Yes,"@FIXME: vâng"
"You have no items to compare.","@FIXME: Bạn không có phẩm để so sánh."
"Your design change for the specified store intersects with another one, please specify another date range.","@FIXME: Thay đổi thiết kế của bạn cho các cửa hàng quy định giao cắt với nhau, xin vui lòng chỉ định một phạm vi ngày."
"Your order can not be completed at this time as there is no payment methods available for it.","Đặt hàng của bạn hiện tại không thể hoàn thành vì không có hình thức vận chuyển phù hợp."
"Your order can not be completed at this time as there is no shipping methods available for it. Please make neccessary changes in your shipping address.","@FIXME: Chỗ đặt của bạn không thể được hoàn thành vào thời điểm này là không có phương pháp vận chuyển có sẵn cho nó.  Hãy làm cho những thay đổi cần thiết trong địa chỉ vận chuyển của bạn."
"Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","@FIXME: Chỗ đặt của bạn không thể được hoàn thành vào thời điểm này là không có phương pháp vận chuyển có sẵn cho nó.  Vui lòng thay đổi cần thiết trong địa chỉ vận chuyển của bạn."
"Your session has been expired, you will be relogged in now.","Session của bạn đã hết hạn, bạn vui lòng đăng nhập lại."
"You will have to log in after you save your custom admin path.","@FIXME: Bạn sẽ phải đăng nhập sau khi bạn lưu đường dẫn quản trị tùy chỉnh của bạn."
